SignalFile: /data00/OOsamples/Skims/skim_HiForest_250520_Hijing_MinimumBias_b015_OO_5362GeV_250518.root
BackgroundFileSD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_SingleDiffraction_OO_5362GeV_1505PR47944.root
BackgroundFileDD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_DoubleDiffraction_OO_5362GeV_1505PR47944.root
xsec_SD: 0.3 xsec_DD: 0.0003 xsec_had: 1.3 N: 31 xMax: 30 trkptcut: 10
HFEMaxCut Eff_Hijing(AND) Eff_Hijing(OR) Eff_SD(AND) Eff_SD(OR) Eff_DD(AND) Eff_DD(OR) BKGRej(AND) BKGRej(OR) Purity(AND) Purity(OR)
0 0.998765 0.998765 0.612069 0.612069 0.878116 0.878116 0.387931 0.387931 0.875945 0.875945
1 0.998765 0.998765 0.612069 0.612069 0.878116 0.878116 0.387931 0.387931 0.875945 0.875945
2 0.998611 0.998765 0.560345 0.612069 0.869806 0.878116 0.439655 0.387931 0.885198 0.875945
3 0.998302 0.998765 0.198276 0.612069 0.747922 0.878116 0.801724 0.387931 0.956017 0.875945
4 0.998086 0.998765 0.0517241 0.612069 0.692521 0.878116 0.948276 0.387931 0.988026 0.875945
5 0.997932 0.998765 0.0258621 0.594828 0.65374 0.875346 0.974138 0.405172 0.993906 0.879013
6 0.997716 0.998765 0.0172414 0.594828 0.617729 0.875346 0.982759 0.405172 0.995886 0.879013
7 0.997531 0.998765 0.0172414 0.577586 0.576177 0.872576 0.982759 0.422414 0.995895 0.882102
8 0.997099 0.998765 0.0172414 0.568966 0.540166 0.867036 0.982759 0.431034 0.995901 0.883656
9 0.996883 0.998765 0.00862069 0.551724 0.512465 0.853186 0.991379 0.448276 0.99789 0.88678
10 0.996235 0.998704 0.00862069 0.543103 0.498615 0.844875 0.991379 0.456897 0.997892 0.888344
11 0.995216 0.998611 0.00862069 0.508621 0.465374 0.833795 0.991379 0.491379 0.997898 0.89467
12 0.994259 0.998457 0.00862069 0.482759 0.412742 0.825485 0.991379 0.517241 0.997908 0.899468
13 0.993241 0.998272 0 0.482759 0.385042 0.811634 1 0.517241 0.999911 0.899453
14 0.992315 0.998148 0 0.474138 0.357341 0.797784 1 0.525862 0.999917 0.90106
15 0.990988 0.998025 0 0.431034 0.32133 0.781163 1 0.568966 0.999925 0.909217
16 0.989691 0.99787 0 0.37931 0.290859 0.759003 1 0.62069 0.999932 0.919206
17 0.988025 0.997593 0 0.353448 0.260388 0.742382 1 0.646552 0.999939 0.924271
18 0.986296 0.997315 0 0.336207 0.224377 0.725762 1 0.663793 0.999948 0.927676
19 0.984352 0.996821 0 0.310345 0.196676 0.700831 1 0.689655 0.999954 0.932828
20 0.981574 0.996358 0 0.293103 0.191136 0.66759 1 0.706897 0.999955 0.936294
21 0.979259 0.995957 0 0.258621 0.157895 0.637119 1 0.741379 0.999963 0.943332
22 0.976389 0.995494 0 0.241379 0.130194 0.598338 1 0.758621 0.999969 0.946886
23 0.97392 0.994846 0 0.215517 0.108033 0.581717 1 0.784483 0.999974 0.952265
24 0.971389 0.993858 0 0.215517 0.0969529 0.540166 1 0.784483 0.999977 0.952229
25 0.968426 0.993086 0 0.198276 0.0914127 0.509695 1 0.801724 0.999978 0.955847
26 0.96571 0.992253 0 0.189655 0.0831025 0.487535 1 0.810345 0.99998 0.957651
27 0.962469 0.991759 0 0.189655 0.0720222 0.459834 1 0.810345 0.999983 0.957637
28 0.95929 0.990926 0 0.181034 0.0637119 0.448753 1 0.818966 0.999985 0.95945
29 0.956019 0.989691 0 0.172414 0.0526316 0.426593 1 0.827586 0.999987 0.96126
30 0.952284 0.988765 0 0.155172 0.0443213 0.407202 1 0.844828 0.999989 0.964961
