SignalFile: /data00/OOsamples/Skims/skim_HiForest_250520_Hijing_MinimumBias_b015_OO_5362GeV_250518.root
BackgroundFileSD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_SingleDiffraction_OO_5362GeV_1505PR47944.root
BackgroundFileDD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_DoubleDiffraction_OO_5362GeV_1505PR47944.root
xsec_SD: 0.3 xsec_DD: 0.0003 xsec_had: 1.3 N: 31 xMax: 30 trkptcut: 2
HFEMaxCut Eff_Hijing(AND) Eff_Hijing(OR) Eff_SD(AND) Eff_SD(OR) Eff_DD(AND) Eff_DD(OR) BKGRej(AND) BKGRej(OR) Purity(AND) Purity(OR)
0 0.99903 0.99903 0.884049 0.884049 0.971125 0.971125 0.115951 0.115951 0.830266 0.830266
1 0.99903 0.99903 0.884049 0.884049 0.971125 0.971125 0.115951 0.115951 0.830266 0.830266
2 0.9987 0.99903 0.818279 0.884049 0.953817 0.971125 0.181721 0.115951 0.840831 0.830266
3 0.996967 0.99901 0.36152 0.879991 0.859199 0.970286 0.63848 0.120009 0.922611 0.83091
4 0.99606 0.998974 0.181294 0.874012 0.803038 0.969138 0.818706 0.125988 0.959519 0.831859
5 0.995352 0.998926 0.124706 0.86419 0.76414 0.966444 0.875294 0.13581 0.971732 0.833426
6 0.994533 0.998877 0.102498 0.855007 0.727891 0.963972 0.897502 0.144993 0.976608 0.834896
7 0.9934 0.998775 0.083707 0.843049 0.688419 0.959071 0.916293 0.156951 0.980772 0.836813
8 0.991907 0.998655 0.067051 0.827461 0.647137 0.953155 0.932949 0.172539 0.984494 0.839328
9 0.990078 0.998456 0.0542387 0.80867 0.605722 0.943971 0.945761 0.19133 0.987378 0.842373
10 0.987899 0.998191 0.0424941 0.786675 0.564175 0.933242 0.957506 0.213325 0.990042 0.845963
11 0.985227 0.997873 0.0350203 0.75742 0.518433 0.920615 0.96498 0.24258 0.991745 0.850792
12 0.982022 0.997483 0.0288277 0.731155 0.474502 0.905029 0.971172 0.268845 0.993161 0.855166
13 0.978433 0.996916 0.0237028 0.706385 0.429202 0.887236 0.976297 0.293615 0.994341 0.859312
14 0.974461 0.99626 0.019432 0.681828 0.38845 0.866572 0.980568 0.318172 0.995328 0.863456
15 0.969834 0.995569 0.0158018 0.653 0.348492 0.843922 0.984198 0.347 0.996172 0.868388
16 0.964903 0.994665 0.0130258 0.627803 0.313347 0.819109 0.986974 0.372197 0.99682 0.872719
17 0.959371 0.993612 0.0115311 0.596626 0.281734 0.794296 0.988469 0.403374 0.997167 0.878154
18 0.953134 0.99238 0.00982276 0.568866 0.252152 0.766082 0.990177 0.431134 0.997567 0.883031
19 0.946724 0.991039 0.00811446 0.544309 0.222703 0.737737 0.991886 0.455691 0.997972 0.887376
20 0.939662 0.989478 0.00683323 0.519752 0.197713 0.709921 0.993167 0.480248 0.998276 0.891755
21 0.932406 0.987686 0.005552 0.490925 0.173915 0.680118 0.994448 0.509075 0.998585 0.896972
22 0.924419 0.98585 0.0044843 0.467222 0.154135 0.651729 0.995516 0.532778 0.998843 0.90129
23 0.916363 0.983761 0.00405723 0.44053 0.135194 0.62356 0.995943 0.55947 0.998945 0.90622
24 0.90787 0.981292 0.00341661 0.413837 0.118725 0.593536 0.996583 0.586163 0.999102 0.911194
25 0.89909 0.978686 0.00298954 0.392483 0.104729 0.565146 0.99701 0.607517 0.999206 0.915182
26 0.889814 0.975788 0.00234892 0.372411 0.0928959 0.538964 0.997651 0.627589 0.999367 0.918948
27 0.880281 0.972879 0.00192184 0.354901 0.0808424 0.511281 0.998078 0.645099 0.999475 0.92225
28 0.870531 0.969616 0.00192184 0.335042 0.0703784 0.485761 0.998078 0.664958 0.999472 0.92605
29 0.860465 0.966049 0.00149477 0.31262 0.0616804 0.463332 0.998505 0.68738 0.999583 0.930415
30 0.850257 0.962283 0.00128123 0.297032 0.054881 0.440108 0.998719 0.702968 0.999637 0.933412
