SignalFile: /data00/OOsamples/Skims/skim_HiForest_250520_Hijing_MinimumBias_b015_OO_5362GeV_250518.root
BackgroundFileSD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_SingleDiffraction_OO_5362GeV_1505PR47944.root
BackgroundFileDD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_DoubleDiffraction_OO_5362GeV_1505PR47944.root
xsec_SD: 0.3 xsec_DD: 0.0003 xsec_had: 1.3 N: 31 xMax: 30 trkptcut: 6
HFEMaxCut Eff_Hijing(AND) Eff_Hijing(OR) Eff_SD(AND) Eff_SD(OR) Eff_DD(AND) Eff_DD(OR) BKGRej(AND) BKGRej(OR) Purity(AND) Purity(OR)
0 0.998992 0.998992 0.647059 0.647059 0.91373 0.91373 0.352941 0.352941 0.869805 0.869805
1 0.998992 0.998992 0.647059 0.647059 0.91373 0.91373 0.352941 0.352941 0.869805 0.869805
2 0.998933 0.998992 0.588235 0.647059 0.899149 0.91373 0.411765 0.352941 0.880205 0.869805
3 0.998666 0.998992 0.226244 0.647059 0.791009 0.91373 0.773756 0.352941 0.950152 0.869805
4 0.998508 0.998982 0.0950226 0.647059 0.7339 0.912515 0.904977 0.352941 0.978348 0.869804
5 0.998359 0.998982 0.0452489 0.638009 0.697448 0.90887 0.954751 0.361991 0.989491 0.871389
6 0.998221 0.998982 0.0316742 0.633484 0.664642 0.907655 0.968326 0.366516 0.992579 0.872184
7 0.998023 0.998982 0.0271493 0.624434 0.625759 0.90158 0.972851 0.375566 0.993619 0.873778
8 0.997697 0.998952 0.0226244 0.615385 0.589307 0.894289 0.977376 0.384615 0.994659 0.875375
9 0.99742 0.998933 0.00452489 0.597285 0.556501 0.882139 0.995475 0.402715 0.998826 0.878591
10 0.996877 0.998903 0.00452489 0.588235 0.528554 0.871203 0.995475 0.411765 0.998832 0.880207
11 0.996165 0.998854 0.00452489 0.552036 0.483597 0.859052 0.995475 0.447964 0.998841 0.886731
12 0.995444 0.998765 0.00452489 0.529412 0.431349 0.843256 0.995475 0.470588 0.998852 0.890854
13 0.994604 0.998656 0 0.524887 0.396112 0.828676 1 0.475113 0.999908 0.891677
14 0.993694 0.998557 0 0.515837 0.36695 0.81045 1 0.484163 0.999915 0.893337
15 0.992528 0.998468 0 0.479638 0.334143 0.792224 1 0.520362 0.999922 0.900059
16 0.991214 0.9983 0 0.438914 0.302552 0.769137 1 0.561086 0.99993 0.907739
17 0.989682 0.998142 0 0.420814 0.27339 0.748481 1 0.579186 0.999936 0.911191
18 0.987913 0.997865 0 0.40724 0.241798 0.732685 1 0.59276 0.999944 0.913785
19 0.986252 0.997509 0 0.384615 0.206561 0.696233 1 0.615385 0.999952 0.918156
20 0.983969 0.997193 0 0.366516 0.193196 0.669502 1 0.633484 0.999955 0.921681
21 0.981617 0.996897 0 0.339367 0.166464 0.639125 1 0.660633 0.999961 0.927036
22 0.978968 0.996452 0 0.312217 0.143378 0.601458 1 0.687783 0.999966 0.932448
23 0.976557 0.995928 0 0.285068 0.126367 0.585662 1 0.714932 0.99997 0.93792
24 0.973562 0.995137 0 0.280543 0.114216 0.55164 1 0.719457 0.999973 0.938804
25 0.970192 0.994436 0 0.266968 0.102066 0.524909 1 0.733032 0.999976 0.941553
26 0.967128 0.993734 0 0.253394 0.0923451 0.503038 1 0.746606 0.999978 0.944322
27 0.963817 0.993151 0 0.253394 0.0826245 0.472661 1 0.746606 0.99998 0.944297
28 0.960348 0.992301 0 0.244344 0.0704739 0.449575 1 0.755656 0.999983 0.946137
29 0.956672 0.991362 0 0.21267 0.0558931 0.428919 1 0.78733 0.999987 0.952739
30 0.952669 0.990393 0 0.20362 0.0510328 0.409478 1 0.79638 0.999988 0.954617
