SignalFile: /data00/OOsamples/Skims/skim_HiForest_250520_Hijing_MinimumBias_b015_OO_5362GeV_250518.root
BackgroundFile: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_SingleDiffraction_OO_5362GeV_1505PR47944.root
xsec_EM: 0.0003 xsec_had: 1.3 N: 31 xMax: 30  Coincidence: 2
HFEMaxCut Eff_Hijing(AND) Eff_Hijing(OR) Eff_SD(AND) Eff_SD(OR) BKGRej(AND) BKGRej(OR) Purity(AND) Purity(OR)
0 0.982581 0.982628 0.211504 0.211714 0.788496 0.788286 0.99995 0.99995
1 0.982581 0.982628 0.211504 0.211714 0.788496 0.788286 0.99995 0.99995
2 0.972961 0.982584 0.141604 0.208646 0.858396 0.791354 0.999966 0.999951
3 0.956058 0.981952 0.017818 0.192158 0.982182 0.807842 0.999996 0.999955
4 0.948806 0.980874 0.00653 0.186498 0.99347 0.813502 0.999998 0.999956
5 0.940023 0.979187 0.004054 0.180478 0.995946 0.819522 0.999999 0.999957
6 0.929199 0.976815 0.002732 0.173212 0.997268 0.826788 0.999999 0.999959
7 0.915905 0.97346 0.001842 0.164378 0.998158 0.835622 1 0.999961
8 0.900766 0.969064 0.001178 0.154442 0.998822 0.845558 1 0.999963
9 0.883795 0.96363 0.000744 0.143766 0.999256 0.856234 1 0.999966
10 0.86574 0.957035 0.000502 0.132768 0.999498 0.867232 1 0.999968
11 0.846946 0.949219 0.000338 0.12155 0.999662 0.87845 1 0.99997
12 0.827447 0.9405 0.000214 0.110506 0.999786 0.889494 1 0.999973
13 0.808202 0.930725 0.000156 0.099936 0.999844 0.900064 1 0.999975
14 0.788643 0.919947 9.8e-05 0.08982 0.999902 0.91018 1 0.999977
15 0.769198 0.908606 5.8e-05 0.08029 0.999942 0.91971 1 0.99998
16 0.750192 0.896481 4e-05 0.071464 0.99996 0.928536 1 0.999982
17 0.731505 0.883883 2.6e-05 0.063298 0.999974 0.936702 1 0.999983
18 0.713394 0.871182 1.6e-05 0.055774 0.999984 0.944226 1 0.999985
19 0.695836 0.857885 1.2e-05 0.048996 0.999988 0.951004 1 0.999987
20 0.678353 0.84457 8e-06 0.043292 0.999992 0.956708 1 0.999988
21 0.661346 0.831119 8e-06 0.038172 0.999992 0.961828 1 0.999989
22 0.644908 0.817503 6e-06 0.033442 0.999994 0.966558 1 0.999991
23 0.628634 0.803846 4e-06 0.029246 0.999996 0.970754 1 0.999992
24 0.613001 0.790207 4e-06 0.0257 0.999996 0.9743 1 0.999992
25 0.597897 0.77689 4e-06 0.022492 0.999996 0.977508 1 0.999993
26 0.583056 0.763403 4e-06 0.019664 0.999996 0.980336 1 0.999994
27 0.568552 0.750068 2e-06 0.017148 0.999998 0.982852 1 0.999995
28 0.554449 0.737051 0 0.014996 1 0.985004 1 0.999995
29 0.540723 0.724057 0 0.013196 1 0.986804 1 0.999996
30 0.527145 0.710937 0 0.011516 1 0.988484 1 0.999996
